version:,1.2,fluorescence lines K series,,,,fluorescence lines L series,,,,,,,,,,,,fluorescence lines M series,,,,"yields, from Hubbell et al, 1994, table 8",,,,,absolute yields for subshells,,,,,,,,,,,,,,,,,,,,,,electron binding energies,,,,,,,,,,,,,,,,,,,,,,,,jump factors,,,,,,,,,,,,,,,,
aprrox intensity,-,100%,50%,15%,5%,100%,10%,50%,20%,6%,4%,10%,1%,3%,<1%,3%,1%,,,,,"note, erratum Hubbell et al 2004",,,,,100%,50%,15%,5%,100%,10%,50%,20%,6%,4%,10%,1%,3%,<1%,3%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transition,-,K-L3,K-L2,"K-M2,M3","K-N2,3",L3-M5,L3-M4,L2-M4,L3-N5,L1-M3,L1-M2,L2-N4,L1-N2,L1-N3,L1-O3,L3-M1,L2-M1,M5-N7,M5-N6,M4-N6,M3-N5,assume W_l1=l2=l3,,,,,K-L3,K-L2,"K-M2,3","K-N2,3",L3-M5,L3-M4,L2-M4,L3-N5,L1-M3,L1-M2,L2-N4,L1-N2,L1-N3,L1-O3,L3-M1,L2-M1,M5-N7,M5-N6,M4-N6,M3-N5,,,K,L-I,L-II,L-III,M-I,M-II,M-III,M-IV,M-V,N-I,N-II,N-III,N-IV,N-V,N-VI,N-VII,O-I,O-II,O-III,O-IV,O-V,P-I,P-II,P-III,,,,,,,,,,,,,,,,,
Z,Symbol,Ka1,Ka2,"Kb1,3",Kb2,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Lg4,Ll,Ln,Ma1,Ma2,Mb,Mg,w_K,W_L1,w_L2,w_L3,w_M,Ka1,Ka2,Kb1+3,Kb2,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Lg4,Ll,Ln,Ma1,Ma2,Mb,Mg,density g/cc,atomic mass [g/mol],1s,2s,2p1/2,2p3/2,3s,3p1/2,3p3/2,3d3/2,3d5/2,4s,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s,5p1/2,5p3/2,5d3/2,5d5/2,6s,6p1/2,6p3/2,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,O1,O2,O3
1,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00009,1.01,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,He,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00017,4,0.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Li,0.0543,0.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.534,6.94,0.0547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Be,0.1085,0.1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0,0,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8,9.01,0.1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B,0.18505,0.18505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0,0,0,0,0.0007,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5,10.81,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C,0.28177,0.28177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0.0013,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3,12.01,0.2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,N,0.3923,0.3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351,0,0,0,0,0.0023,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00117,14.01,0.4099,0.0373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
